Sr No,Date dd/mm/yyyy,Startup Name,Startup type,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,GREEN,Success
1,09-01-2020,BYJU’S,Non-Green,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,"20,00,00,000",Waste Management Service,0
2,13-01-2020,Shuttl,Non-Green,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,"80,48,394",Waste Management Solutions,1
3,09-01-2020,Mamaearth,Non-Green,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,"1,83,58,860",Clean-tech,0
4,02-01-2020,https://www.wealthbucket.in/,Non-Green,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,"30,00,000",Clean Tech,0
5,02-01-2020,Fashor,Non-Green,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,"18,00,000",Energy,0
6,13-01-2020,Pando,Non-Green,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000",Energy saving solutions provider,0
7,10-01-2020,Zomato,Non-Green,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,"15,00,00,000",Efficient Energy Management platform,0
8,12-12-2019,Ecozen,Non-Green,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",Renewable energy solutions,0
9,06-12-2019,CarDekho,Non-Green,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,"7,00,00,000",Energy & Environment Online Marketplace,1
10,03-12-2019,Dhruva Space,Non-Green,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",Solar Power Solutions company,0
11,13-12-2019,Rivigo,Non-Green,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",solar products and services marketplace,1
12,17-12-2019,Healthians,Non-Green,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",Rooftop Solar Plants,1
13,16-12-2019,Licious,Non-Green,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000",Off-grid Solar Power,1
14,16-12-2019,InCred,Non-Green,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,"59,00,000",Electric Scooter manufacturer,0
15,14-12-2019,Trell,Non-Green,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,"20,00,000",Electric Bike Manufacturers,0
16,11-12-2019,Rein Games,Non-Green,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"5,00,00,000",Electronic Goods recycling service,0
17,20-12-2019,Lenskart.com,Non-Green,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",Material Collection & Recycling,1
18,13-11-2019,Freshworks,Non-Green,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",Sustainable Agri-inputs Firm,1
19,14-11-2019,Misters,Non-Green,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",Agriculture,0
20,13-11-2019,Sunstone Eduversity Pvt. Ltd,Non-Green,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000",Agtech,0
21,17-11-2019,Burger Singh,Non-Green,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,undisclosed,Innovative Water Solutions,0
22,18-11-2019,Healthians,Non-Green,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",,0
23,15-11-2019,Ninjacart,Non-Green,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,"2,60,00,000",,0
24,20-11-2019,Aye Finance,Non-Green,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,"1,74,11,265",,0
25,12-11-2019,SuperGaming,Non-Green,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"13,00,000",,0
26,20-11-2019,Clumio,Non-Green,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000",,1
27,11-11-2019,eBikeGo,Non-Green,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"3,00,000",,0
28,19-11-2019,Digital Mall Asia,Non-Green,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,"22,00,00,000",,0
29,18-11-2019,Medikabazaar,Non-Green,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000",,0
30,15-11-2019,Vogo Automotive,Non-Green,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000",,0
31,19-11-2019,Furtados School of Music,Non-Green,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,"20,00,00,000",,0
32,25-11-2019,Paytm,Non-Green,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,"1,00,00,00,000",,0
33,04-10-2019,Dunzo,Non-Green,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,"4,50,00,000",,1
34,02-10-2019,Udaan,Non-Green,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,"58,50,00,000",,1
35,21-10-2019,The Man Company,Non-Green,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,unknown,,0
36,05-09-2019,FPL Technologies,Non-Green,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000",,0
37,04-09-2019,Cashflo,Non-Green,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"33,00,000",,0
38,04-09-2019,Digital F5,Non-Green,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,"60,00,000",,0
39,04-09-2019,3rdFlix,Non-Green,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,"50,00,000",,0
40,04-09-2019,75F,Non-Green,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"1,80,00,000",,0
41,04-09-2019,Myelin Foundry,Non-Green,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,"10,00,000",,0
42,04-09-2019,Atomberg Technology,Non-Green,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"1,00,00,000",,0
43,04-09-2019,GOQii,Non-Green,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000",,1
44,03-09-2019,Vyapar App,Non-Green,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,"50,00,000",,0
45,01-08-2019,CarDekho,Non-Green,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,"2,00,00,000",,1
46,01-08-2019,Progcap,Non-Green,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,"50,00,000",,0
47,01-08-2019,MyPetrolPump,Non-Green,Retail,Fuel Delivery,Bengaluru,,Seed Funding Round,"16,00,000",,0
48,01-08-2019,Alteria Capital,Non-Green,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"14,00,00,000",,0
49,01-08-2019,Pine Labs,Non-Green,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,"3,80,80,000",,0
50,12-08-2019,Meesho,Non-Green,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,"12,50,00,000",,1
51,13-08-2019,Cars24,Non-Green,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,"1,10,00,000",,1
52,13-08-2019,Uniphore,Non-Green,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,"5,10,00,000",,1
53,23-08-2019,Zendrive,Non-Green,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"3,70,00,000",,0
54,23-08-2019,Lo! Foods,Non-Green,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,"5,00,000",,0
55,23-08-2019,Tala,Non-Green,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"11,00,00,000",,1
56,22-08-2019,INDwealth,Non-Green,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,"1,50,00,000",,0
57,21-08-2019,HungerBox,Non-Green,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,"65,90,000",,1
58,23-08-2019,AdmitKard,Non-Green,EdTech,University Admissions,Noida,Growth DNA,Seed Round,"10,00,000",,0
59,19-08-2019,Mishry Reviews,Non-Green,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,Undisclosed,,0
60,19-08-2019,Grofers,Non-Green,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,"7,00,00,000",,1
61,27-08-2019,Rapido Bike Taxi,Non-Green,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,"3,90,00,00,000",,0
62,02-07-2019,RenewBuy,Non-Green,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,"1,90,00,000",,0
63,02-07-2019,Atlan,Non-Green,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,"25,00,000",,0
64,01-07-2019,WizCounsel,Non-Green,Compliance,Consulting,New Delhi,Kapil Dev,Angel,"1,45,000",,0
65,03-07-2019,Ola Cabs,Non-Green,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"10,00,000",,0
66,01-07-2019,Uniphore,Non-Green,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"3,80,80,000",,1
67,04-07-2019,Daalchini Technologies,Non-Green,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,"5,00,000",,0
68,10-07-2019,"""BYJU\\'S""",Non-Green,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,"15,00,00,000",,0
69,11-07-2019,Moglix,Non-Green,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000",,1
70,10-07-2019,Ezyhaul,Non-Green,Tech,Logistics,Singapore,Undisclosed,Series B,"1,60,00,000",,0
71,10-07-2019,Indus OS,Non-Green,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,"57,50,000",,0
72,10-07-2019,HealthAssure,Non-Green,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"25,00,000",,0
73,09-07-2019,House of Msasaba,Non-Green,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"10,00,000",,0
74,08-07-2019,Board Infinity,Non-Green,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,"3,19,605",,0
75,05-06-2019,NoBroker,Non-Green,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"5,10,00,000",,1
76,04-06-2019,Bira91,Non-Green,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"1,00,00,000",,0
77,03-06-2019,FabHotels,Non-Green,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,"48,89,975.54",,0
78,03-06-2019,Avail Finance,Non-Green,Finance,FinTech,Bengaluru,Matrix Partners,Series A,"90,00,000",,0
79,04-06-2019,BharatPe,Non-Green,Finance,FinTech,New Delhi,Insight Partners,Series B,"7,50,00,000",,0
80,04-06-2019,Recykal,Green,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"2,60,00,000",,0
81,03-06-2019,Agara Labs,Non-Green,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,"25,00,000",,0
